ptid;enid;name;fullname
3518;4816;stat;Stat
3518;4815;telenor;Telenor
3779;4822;radio;Radio
3779;4823;radioStråleantenne;Radio, stråleantenne
3779;4821;mobiltelefon;Mobiltelefon
8106;10500;statensVegvesen;Statens vegvesen
8106;10578;kommune;Kommune
8106;10656;privat;Privat
5540;7876;anlegg;Anlegg
5540;7877;vedlikehold;Vedlikehold
5483;7450;glassfiber;Glassfiber
5483;7451;stål;Stål
5483;7452;plast;Plast
8118;10512;statensVegvesen;Statens vegvesen
8118;10590;kommune;Kommune
8118;10668;privat;Privat
1283;7941;rensebasseng;Rensebasseng
1283;17034;rensebassengSedimentasjon;Rensebasseng, sedimentasjon
1283;17035;rensebassengInfiltrasjon;Rensebasseng, infiltrasjon
1283;17036;rensebassengVåtmark;Rensebasseng, våtmark
1283;7943;oppsamlingAvForurensning;Oppsamling av forurensning
1283;7942;fordrøyningsbasseng;Fordrøyningsbasseng
1283;17037;vannmagasin;Vannmagasin
1283;7944;pumpesump;Pumpesump
10452;16907;betongbunn;Betongbunn
10452;16908;bunntettingLeire;Bunntetting leire
10452;16909;bunntettingMembran;Bunntetting membran
10452;17012;berg;Berg
8010;10276;stat;Stat
8010;10738;fylkeskommune;Fylkeskommune
8010;10340;kommune;Kommune
8010;10404;privat;Privat
10685;17278;stedligeMasser;Stedlige masser
10685;17279;tilførteMasser;Tilførte masser
10451;16904;hovedbasseng;Hovedbasseng
10451;16905;forbasseng;Forbasseng
10455;16916;dykket;Dykket
10455;16917;åpen;Åpen
10456;16918;ja;Ja
10456;16919;nei;Nei
10454;16914;ja;Ja
10454;16915;nei;Nei
10457;16920;dykket;Dykket
10457;16921;åpen;Åpen
8077;10471;statensVegvesen;Statens vegvesen
8077;10549;kommune;Kommune
8077;10627;privat;Privat
1272;2955;belysningVegGate;Belysning veg/gate
1272;2963;belysningTunnel;Belysning tunnel
1272;4910;nødbelysningTunnel;Nødbelysning, tunnel
1272;3319;belysningBru;Belysning bru
1272;2957;belysningOmrådePlass;Belysning område/plass
1272;16261;belysningFerjeleie;Belysning ferjeleie
1272;2959;belysningVegkryss;Belysning vegkryss
1272;2953;belysningGangSykkelveg;Belysning gang/sykkelveg
1272;2961;belysningGangfelt;Belysning gangfelt
1272;17318;belysningUndergang;Belysning, undergang
1272;4908;belysningUtstyr;Belysning, utstyr
1272;3856;privatOmråde;Privat område
10003;16262;stat;Stat
10003;16263;fylkeskommune;Fylkeskommune
10003;16264;kommune;Kommune
10003;16265;privat;Privat
10006;16267;ja;Ja
10006;16268;nei;Nei
1874;2965;lysmast;Lysmast
1874;2969;mindreStolpe;Mindre stolpe
1874;2970;hengerITakKabelstige;Henger i tak/kabelstige
1874;2972;festetTilVeggBygning;Festet til vegg/bygning
1874;2988;påPortal;På portal
1874;3757;hengerIVaier;Henger i vaier
2078;3765;jordkabel;Jordkabel
2078;3766;line;Line
2078;3857;eX;EX
1555;2142;statensVegvesen;Statens vegvesen
1555;2146;kommune;Kommune
1555;3717;lokaltEVerk;Lokalt e-verk
1555;2150;privat;Privat
9675;13942;hjullaster;Hjullaster
9675;13943;gravemaskin;Gravemaskin
9675;13944;tilFots;Til fots
9675;13945;kran;Kran
9675;13946;tau;Tau
9675;13947;helikopter;Helikopter
9676;13948;stat;Stat
9676;13949;fylkeskommune;Fylkeskommune
9676;13950;kommune;Kommune
9676;13951;privat;Privat
1651;3295;tunnelHeleProfilet;Tunnel, hele profilet
1651;3297;tunnelHengOgVegger;Tunnel, heng og vegger
1651;3299;tunnelHeng;Tunnel, heng
1651;3303;tunnelSåle;Tunnel, såle
1651;3308;tunnelHøyreVegg;Tunnel, høyre vegg
1651;3305;tunnelVenstreVegg;Tunnel, venstre vegg
1651;3314;tunnelHøyreVeggOgHeng;Tunnel, høyre vegg og heng
1651;3316;tunnelVenstreVeggOgHeng;Tunnel, venstre vegg og heng
1651;12999;tunnelHalveProfilHøyreSide;Tunnel, halve profil høyre side
1651;13000;tunnelHalveProfilVenstreSide;Tunnel, Halve profil venstre side
1651;15877;dagenSkjæring;Dagen, skjæring
1651;15878;dagenNaturligTerreng;Dagen, naturlig terreng
1133;12995;bartBerg;Bart berg
1133;3290;bolter;Bolter
1133;3291;nett;Nett
1133;13210;nettUbåtnett;Nett, ubåtnett
1133;13212;nettIsnett;Nett, isnett
1133;13211;nettSteinsprangnett;Nett, steinsprangnett
1133;15879;anker;Anker
1133;3289;fjellbånd;Fjellbånd
1133;12250;sprøytebetong;Sprøytebetong
1133;12251;sprøytebetongbuerEnkel;Sprøytebetongbuer, enkel
1133;12252;sprøytebetongbuerDobbel;Sprøytebetongbuer, dobbel
9166;12253;uarmert;Uarmert
9166;12254;medPPFiber;Med PP-fiber
9166;12255;medStålfiber;Med stålfiber
9166;12256;medArmeringsnett;Med armeringsnett
9677;13952;statensVegvesen;Statens Vegvesen
9677;13953;kommune;Kommune
9677;13954;privat;Privat
9168;12257;enkel;Enkel
9168;12258;dobbel;Dobbel
9168;12259;ingenArmering;Ingen armering
1996;3429;asfaltmembran;Asfaltmembran
1996;3430;foliemembran;Foliemembran
1996;3431;ikkeMembran;Ikke membran
1650;3294;heleProfilet;Hele profilet
